i: 0, x: 3, y: 8, has_ant: 0, has_item: 1, item_id: 0.
i: 1, x: 1, y: 1, has_ant: 0, has_item: 1, item_id: 1.
i: 2, x: 6, y: 4, has_ant: 0, has_item: 1, item_id: 2.
i: 3, x: 9, y: 2, has_ant: 0, has_item: 1, item_id: 3.
i: 4, x: 7, y: 6, has_ant: 0, has_item: 1, item_id: 4.
i: 5, x: 5, y: 2, has_ant: 0, has_item: 1, item_id: 5.
i: 6, x: 1, y: 5, has_ant: 0, has_item: 1, item_id: 6.
i: 7, x: 4, y: 0, has_ant: 0, has_item: 1, item_id: 7.
i: 8, x: 2, y: 4, has_ant: 0, has_item: 1, item_id: 8.
i: 9, x: 7, y: 4, has_ant: 0, has_item: 1, item_id: 9.
i: 10, x: 2, y: 6, has_ant: 0, has_item: 1, item_id: 10.
i: 11, x: 3, y: 9, has_ant: 0, has_item: 1, item_id: 11.
i: 12, x: 0, y: 6, has_ant: 0, has_item: 1, item_id: 12.
i: 13, x: 6, y: 8, has_ant: 0, has_item: 1, item_id: 13.
i: 14, x: 7, y: 9, has_ant: 0, has_item: 1, item_id: 14.
i: 15, x: 0, y: 4, has_ant: 0, has_item: 1, item_id: 15.
i: 16, x: 2, y: 0, has_ant: 0, has_item: 1, item_id: 16.
i: 17, x: 8, y: 1, has_ant: 0, has_item: 1, item_id: 17.
i: 18, x: 8, y: 5, has_ant: 0, has_item: 1, item_id: 18.
i: 19, x: 4, y: 9, has_ant: 0, has_item: 1, item_id: 19.
i: 20, x: 0, y: 0, has_ant: 0, has_item: 1, item_id: 20.
i: 21, x: 2, y: 3, has_ant: 0, has_item: 1, item_id: 21.
i: 22, x: 6, y: 9, has_ant: 0, has_item: 1, item_id: 22.
i: 23, x: 9, y: 1, has_ant: 0, has_item: 1, item_id: 23.
i: 24, x: 7, y: 2, has_ant: 0, has_item: 1, item_id: 24.
i: 25, x: 0, y: 9, has_ant: 0, has_item: 1, item_id: 25.
i: 26, x: 8, y: 7, has_ant: 0, has_item: 1, item_id: 26.
i: 27, x: 3, y: 5, has_ant: 0, has_item: 1, item_id: 27.
i: 28, x: 6, y: 1, has_ant: 0, has_item: 1, item_id: 28.
i: 29, x: 5, y: 0, has_ant: 0, has_item: 1, item_id: 29.
i: 30, x: 3, y: 3, has_ant: 0, has_item: 1, item_id: 30.
i: 31, x: 2, y: 1, has_ant: 0, has_item: 1, item_id: 31.
i: 32, x: 9, y: 8, has_ant: 0, has_item: 1, item_id: 32.
i: 33, x: 0, y: 5, has_ant: 0, has_item: 1, item_id: 33.
i: 34, x: 7, y: 3, has_ant: 0, has_item: 1, item_id: 34.
i: 35, x: 6, y: 0, has_ant: 0, has_item: 1, item_id: 35.
i: 36, x: 5, y: 3, has_ant: 0, has_item: 1, item_id: 36.
i: 37, x: 0, y: 7, has_ant: 0, has_item: 1, item_id: 37.
i: 38, x: 2, y: 8, has_ant: 0, has_item: 1, item_id: 38.
i: 39, x: 8, y: 8, has_ant: 0, has_item: 1, item_id: 39.
i: 40, x: 4, y: 4, has_ant: 0, has_item: 1, item_id: 40.
i: 41, x: 1, y: 9, has_ant: 0, has_item: 1, item_id: 41.
i: 42, x: 4, y: 3, has_ant: 0, has_item: 1, item_id: 42.
i: 43, x: 4, y: 8, has_ant: 0, has_item: 1, item_id: 43.
i: 44, x: 2, y: 9, has_ant: 0, has_item: 1, item_id: 44.
i: 45, x: 7, y: 1, has_ant: 0, has_item: 1, item_id: 45.
i: 46, x: 5, y: 1, has_ant: 0, has_item: 1, item_id: 46.
i: 47, x: 7, y: 7, has_ant: 0, has_item: 1, item_id: 47.
i: 48, x: 0, y: 2, has_ant: 0, has_item: 1, item_id: 48.
i: 49, x: 2, y: 5, has_ant: 0, has_item: 1, item_id: 49.
i: 0, x: 0, y: 1, has_ant: 1, has_item: 0, and_id: 0.
i: 1, x: 6, y: 3, has_ant: 1, has_item: 0, and_id: 1.
i: 2, x: 6, y: 5, has_ant: 1, has_item: 0, and_id: 2.
i: 3, x: 2, y: 7, has_ant: 1, has_item: 0, and_id: 3.
i: 4, x: 7, y: 0, has_ant: 1, has_item: 0, and_id: 4.
i: 5, x: 7, y: 5, has_ant: 1, has_item: 0, and_id: 5.
i: 6, x: 8, y: 9, has_ant: 1, has_item: 0, and_id: 6.
i: 7, x: 5, y: 4, has_ant: 1, has_item: 0, and_id: 7.
